AP,AP50,AP75,bAP,bAP50,bAP75,nAP,nAP50,nAP75,use_classification_layer,use_laplacianshot,embeddings_type,leverage_classification,rectify_prototypes,support_augmentation,time_elapsed,time_from,time_to
42.807611356407655,68.31970447683196,46.139719879956026,49.64868569855045,78.80891647548964,53.42824742844814,22.284388329979254,36.852068480858996,24.274137234479667,1.0,1.0,embeddings,1.0,1.0,0.0,100.0,2021-07-29 10:14:56,2021-07-29 10:16:37
42.678172210525034,68.46892004284571,46.06571000424936,49.386339488693686,78.84029036513635,53.27269052198516,22.553670376019074,37.35480907597378,24.44476845104194,1.0,1.0,embeddings,1.0,0.0,0.0,95.0,2021-07-29 10:16:37,2021-07-29 10:18:12
42.67247956984024,68.49267168215454,46.00042695402876,49.41781603623859,78.88617694863368,53.27765946250458,22.436470170645208,37.31215588271712,24.168729428601313,1.0,1.0,embeddings,1.0,1.0,1.0,114.0,2021-07-29 10:11:18,2021-07-29 10:13:13
42.6617194617766,68.40997439473767,45.91387330980417,49.43629627003399,78.8508896932903,53.192184610821194,22.33798903700437,37.08722849907983,24.078939406753047,1.0,1.0,,,,,,,
42.463942183174325,68.09281491625079,46.1179031721018,49.101231711359205,78.38245324907209,53.27121710248454,22.552073598619664,37.22389991778691,24.657961380953545,1.0,1.0,embeddings,1.0,0.0,1.0,103.0,2021-07-29 10:13:13,2021-07-29 10:14:56
