AP,AP50,AP75,bAP,bAP50,bAP75,nAP,nAP50,nAP75,use_classification_layer,use_laplacianshot,embeddings_type,knn,lambda_factor,leverage_classification,rectify_prototypes,support_augmentation,time_elapsed,time_from,time_to
42.80321306367567,68.3271603572281,46.09718588397861,49.618628139303155,78.79999587276706,53.3403498740079,22.356967836793228,36.90865381061117,24.36769391389075,1.0,1.0,embeddings,3.0,1.0,1.0,1.0,0.0,136.0,2021-08-03 10:51:38,2021-08-03 10:53:54
42.74039670911052,68.33196820635285,46.12305883952846,49.53138421500618,78.79509747970815,53.38209619036743,22.367434191423577,36.942580386287034,24.345946787011588,1.0,1.0,embeddings,3.0,0.5,1.0,1.0,0.0,139.0,2021-08-03 10:49:18,2021-08-03 10:51:38
42.6913941549892,68.28933168611448,46.1448366169242,49.452135268323374,78.79490917638721,53.36240064324196,22.409170814986688,36.77259921529633,24.492144537970916,1.0,1.0,embeddings,3.0,2.0,1.0,1.0,0.0,136.0,2021-08-03 10:53:54,2021-08-03 10:56:11
42.68153655254987,68.31527756786866,46.128983150712436,49.480570992972964,78.79687842786166,53.41766852899319,22.284433231280588,36.87047498788972,24.262927015870154,1.0,1.0,embeddings,3.0,0.1,1.0,1.0,0.0,136.0,2021-08-03 10:47:02,2021-08-03 10:49:18
42.6617194617766,68.40997439473767,45.91387330980417,49.43629627003399,78.8508896932903,53.192184610821194,22.33798903700437,37.08722849907983,24.078939406753047,1.0,1.0,,,,,,,,,
42.612035468674264,68.26035873905946,45.917240487463395,49.48111780121823,78.8277609969446,53.22616193542169,22.00478847104236,36.55815196540398,23.990476143588495,1.0,1.0,embeddings,3.0,2.0,1.0,1.0,1.0,135.0,2021-08-03 10:44:47,2021-08-03 10:47:02
42.55339741223527,68.18166910523836,45.75905500781895,49.505306880841445,78.8945893981723,53.19509320986803,21.69766900641671,36.04290822643655,23.450940401671684,1.0,1.0,embeddings,3.0,0.5,1.0,1.0,1.0,133.0,2021-08-03 10:40:17,2021-08-03 10:42:31
42.51908560282793,68.21303704051974,45.89933351185875,49.4090156533192,78.9139355698472,53.234665826977874,21.849295451354116,36.11034145253741,23.893336566501393,1.0,1.0,embeddings,3.0,1.0,1.0,1.0,1.0,135.0,2021-08-03 10:42:31,2021-08-03 10:44:46
42.44568165579536,68.1492554578883,45.72635688384624,49.37659399962573,78.88222973368073,53.20303311395843,21.652944624304244,35.950332630510914,23.296328193509673,1.0,1.0,embeddings,3.0,0.1,1.0,1.0,1.0,134.0,2021-08-03 10:38:03,2021-08-03 10:40:17
