AP,AP50,AP75,bAP,bAP50,bAP75,nAP,nAP50,nAP75,use_classification_layer,use_laplacianshot,embeddings_type,knn,lambda_factor,leverage_classification,rectify_prototypes,support_augmentation,time_elapsed,time_from,time_to
42.80045131780345,68.42472621464415,46.062852143831755,49.55350011080615,78.81725482313757,53.264322847839544,22.541304938795353,37.247140389163874,24.4584400318084,1.0,1.0,embeddings,5.0,1.0,1.0,1.0,0.0,181.0,2021-08-03 21:11:26,2021-08-03 21:14:28
42.785022945618266,68.30740465458821,46.173454167208625,49.589951692601,78.81394619736503,53.432614121782954,22.370236704670056,36.787780026257835,24.395974303485662,1.0,1.0,embeddings,3.0,1.0,1.0,1.0,0.0,171.0,2021-08-03 20:56:50,2021-08-03 20:59:41
42.77844518607003,68.29722086617157,46.127396389311656,49.602833172907644,78.81819294871083,53.397883789425286,22.305281225557174,36.734304618553864,24.31593418897078,1.0,1.0,embeddings,3.0,0.5,1.0,1.0,0.0,167.0,2021-08-03 20:54:02,2021-08-03 20:56:50
42.76998907802882,68.30399474139388,46.11027040108667,49.51892491524693,78.79852563079207,53.27352442466848,22.523181566374483,36.82040207319925,24.620508330341238,1.0,1.0,embeddings,5.0,1.5,1.0,1.0,0.0,157.0,2021-08-03 21:14:28,2021-08-03 21:17:05
42.73915618109993,68.30630680947203,46.138804665633835,49.54382197778333,78.83276797745607,53.413386683009506,22.32515879104977,36.726923305519975,24.315058613506803,1.0,1.0,embeddings,3.0,0.3,1.0,1.0,0.0,169.0,2021-08-03 20:51:13,2021-08-03 20:54:02
42.73698973294466,68.28380499464274,46.078079314286306,49.55647243315716,78.80736363548823,53.33693172216545,22.27854163230713,36.713129072106184,24.301522090648866,1.0,1.0,embeddings,5.0,0.1,1.0,1.0,0.0,180.0,2021-08-03 21:02:29,2021-08-03 21:05:29
42.72479352924788,68.2786271491492,46.07665883292346,49.54155229538781,78.80159564409138,53.338405947129324,22.27451723082809,36.70972166432267,24.29141749030581,1.0,1.0,embeddings,1.0,0.1,1.0,1.0,0.0,141.0,2021-08-03 20:35:05,2021-08-03 20:37:26
42.72479352924788,68.2786271491492,46.07665883292346,49.54155229538781,78.80159564409138,53.338405947129324,22.27451723082809,36.70972166432267,24.29141749030581,1.0,1.0,embeddings,1.0,0.3,1.0,1.0,0.0,147.0,2021-08-03 20:37:26,2021-08-03 20:39:54
42.72479352924788,68.2786271491492,46.07665883292346,49.54155229538781,78.80159564409138,53.338405947129324,22.27451723082809,36.70972166432267,24.29141749030581,1.0,1.0,embeddings,1.0,0.5,1.0,1.0,0.0,180.0,2021-08-03 20:39:54,2021-08-03 20:42:55
42.72479352924788,68.2786271491492,46.07665883292346,49.54155229538781,78.80159564409138,53.338405947129324,22.27451723082809,36.70972166432267,24.29141749030581,1.0,1.0,embeddings,1.0,1.0,1.0,1.0,0.0,166.0,2021-08-03 20:42:55,2021-08-03 20:45:41
42.72479352924788,68.2786271491492,46.07665883292346,49.54155229538781,78.80159564409138,53.338405947129324,22.27451723082809,36.70972166432267,24.29141749030581,1.0,1.0,embeddings,1.0,1.5,1.0,1.0,0.0,163.0,2021-08-03 20:45:41,2021-08-03 20:48:24
42.71627492956201,68.31170962197987,46.13873092631967,49.508487578241805,78.80948096940907,53.40162070508619,22.339636983522638,36.818395579692364,24.350061590020093,1.0,1.0,embeddings,5.0,0.3,1.0,1.0,0.0,177.0,2021-08-03 21:05:29,2021-08-03 21:08:26
42.71524495549703,68.31955841439637,46.106228523287456,49.48115289259027,78.79966367788755,53.345127982227936,22.417521144217282,36.87924262392279,24.389530146466026,1.0,1.0,embeddings,5.0,0.5,1.0,1.0,0.0,179.0,2021-08-03 21:08:26,2021-08-03 21:11:26
42.710595439696604,68.27978971105135,46.06802620207447,49.52448350719441,78.80165594735173,53.33641634401549,22.26893123720319,36.714191002150265,24.262855776251392,1.0,1.0,embeddings,3.0,0.1,1.0,1.0,0.0,168.0,2021-08-03 20:48:24,2021-08-03 20:51:13
42.68585905252674,68.2386770494951,46.1060012993559,49.50432158085693,78.81143132718385,53.361412752994376,22.230471467536184,36.5204142164288,24.339766938440487,1.0,1.0,embeddings,3.0,1.5,1.0,1.0,0.0,167.0,2021-08-03 20:59:41,2021-08-03 21:02:29
42.6617194617766,68.40997439473767,45.91387330980417,49.43629627003399,78.8508896932903,53.192184610821194,22.33798903700437,37.08722849907983,24.078939406753047,1.0,1.0,,,,,,,,,
