AP,AP50,AP75,bAP,bAP50,bAP75,nAP,nAP50,nAP75,use_classification_layer,use_laplacianshot,embeddings_type,leverage_classification,rectify_prototypes,time_elapsed,time_from,time_to
42.72887121092874,68.47865827861554,46.02720562032197,49.46157694985923,78.8354428328961,53.241334673094734,22.530753994137264,37.408304615773915,24.384818462003654,1.0,1.0,embeddings,1.0,0.0,92.0,1627032688.0,1627032780.0
42.713202389526714,68.19282279209419,46.11483326985253,49.55066920005068,78.81644047087282,53.38581325016608,22.200801957954848,36.32196975575827,24.301893328911884,1.0,1.0,embeddings,1.0,1.0,101.0,1627032309.0,1627032410.0
42.6617194617766,68.40997439473767,45.91387330980417,49.43629627003399,78.8508896932903,53.192184610821194,22.33798903700437,37.08722849907983,24.078939406753047,1.0,1.0,,,,,,
42.104745051309166,67.2767822134159,45.85692688855967,49.08216473106406,78.25211698821754,53.38569718106103,21.172486012044494,34.35077788901102,23.270616011055548,1.0,1.0,probabilities,1.0,0.0,89.0,1627032780.0,1627032870.0
41.40892876825881,66.10860188674232,44.84006161360907,49.0557227797164,77.94715610164135,53.12064590485914,18.468546733886065,30.59293924204523,19.998308739858864,1.0,1.0,probabilities,1.0,1.0,90.0,1627032410.0,1627032501.0
41.16185524493271,65.12005498140465,44.706099090900366,48.83775492746741,77.09862270632556,52.96716243670293,18.13415619732862,29.18435180664192,19.922909053492674,1.0,1.0,probabilities,0.0,1.0,93.0,1627032595.0,1627032688.0
40.63274409801768,64.09263594530475,44.641190434174995,48.43490084624189,76.39994832887491,53.050666280859765,17.226273853345027,27.170698794594266,19.41276289412072,1.0,1.0,probabilities,0.0,0.0,88.0,1627032962.0,1627033050.0
39.855662791021516,63.603675304604906,43.074032866984204,47.88433100356632,76.21695881535216,51.85891916366742,15.769658153387104,25.763824772363172,16.719373976934563,1.0,1.0,embeddings,0.0,0.0,91.0,1627032870.0,1627032962.0
39.07554052699573,62.468026607130454,42.17429379522903,46.65995072305714,74.5048124119981,50.43210143106987,16.322309938811532,26.357669192527585,17.4008708877066,1.0,1.0,embeddings,0.0,1.0,93.0,1627032501.0,1627032595.0
