AP,AP50,AP75,bAP,bAP50,bAP75,embeddings_type,leverage_classification,nAP,nAP50,nAP75,rectify_prototypes,support_augmentation,time_elapsed,time_from,time_to,use_classification_layer,use_laplacianshot
42.494881522108585,68.01275918945562,45.80628791190739,49.2588000103867,78.60761917885527,53.052182394916464,embeddings,1.0,22.20312605727426,36.22817922125666,24.068604462880167,0.0,0.0,124.0,2021-07-29 14:44:13,2021-07-29 14:46:17,0.0,1.0
42.47107416265336,67.92618064409905,45.780403937861834,49.36680198618792,78.63612913388889,53.247480974766226,embeddings,1.0,21.783890692049674,35.79633517472953,23.37917282714861,1.0,0.0,123.0,2021-07-29 14:42:09,2021-07-29 14:44:13,0.0,1.0
42.305913398993184,67.32269905181518,45.7045712405144,49.330906334255396,78.233050516156,53.332566221906355,embeddings,1.0,21.230934593206555,34.591644658792696,22.82058629633851,1.0,1.0,189.0,2021-07-29 14:36:29,2021-07-29 14:39:39,0.0,1.0
42.217276877523865,67.21415686809522,45.69096725930999,49.044370366543234,77.90769533041119,52.983800239038054,embeddings,1.0,21.735996410465752,35.13354148114737,23.812468320125763,0.0,1.0,150.0,2021-07-29 14:39:39,2021-07-29 14:42:09,0.0,1.0
