AP,AP50,AP75,bAP,bAP50,bAP75,embeddings_type,leverage_classification,nAP,nAP50,nAP75,rectify_prototypes,support_augmentation,time_elapsed,time_from,time_to,use_classification_layer,use_laplacianshot
42.23195786234863,67.3885224526016,45.74893477562582,49.300374871765065,78.45123184019184,53.33437265994244,embeddings,1.0,21.026706834099322,34.20039428983091,22.99262112267597,1.0,0.0,45.0,2021-07-29 16:23:01,2021-07-29 16:23:46,0.0,1.0
42.167451911573195,67.39162124619853,45.681667762765585,49.16498702336908,78.45298810429095,53.18188424572236,embeddings,1.0,21.17484657618557,34.20752067192119,23.18101831389526,0.0,0.0,43.0,2021-07-29 16:23:46,2021-07-29 16:24:30,0.0,1.0
41.50288584572383,66.39299053532582,45.04420381642414,48.88404060844217,78.08192001316448,52.98240778257844,embeddings,1.0,19.359421557568812,31.326202101809923,21.229591917961237,1.0,1.0,52.0,2021-07-29 16:21:20,2021-07-29 16:22:12,0.0,1.0
41.08793210749974,65.02678718436665,44.29856441746115,48.002441808788376,75.89416252249093,51.60938839809562,embeddings,1.0,20.344403003633836,32.42466116999393,22.366092475557746,0.0,1.0,49.0,2021-07-29 16:22:12,2021-07-29 16:23:01,0.0,1.0
