AP,AP50,AP75,bAP,bAP50,bAP75,nAP,nAP50,nAP75,use_classification_layer,use_laplacianshot,embeddings_type,leverage_classification,rectify_prototypes,support_augmentation,time_elapsed,time_from,time_to
42.78872040000984,68.28035136917819,46.146544585508806,49.57373223508627,78.75715898750484,53.417918132948174,22.43368489478052,36.84992851419828,24.33242394319074,1.0,1.0,embeddings,1.0,1.0,1.0,46.0,2021-07-29 16:47:03,2021-07-29 16:47:49
42.6617194617766,68.40997439473767,45.91387330980417,49.43629627003399,78.8508896932903,53.192184610821194,22.33798903700437,37.08722849907983,24.078939406753047,1.0,1.0,,,,,,,
42.51473239084621,67.99509529521872,45.90168948105859,49.423081649567926,78.64722662604554,53.373736085478065,21.789684614681054,36.03870130273827,23.485549667800193,1.0,1.0,embeddings,1.0,0.0,1.0,44.0,2021-07-29 16:50:55,2021-07-29 16:51:39
42.49119087054454,67.96814379532444,45.773971884014585,49.34151101600342,78.59218523559753,53.090031733232436,21.94023043416786,36.09601947450517,23.82579233636102,1.0,1.0,probabilities,1.0,0.0,0.0,68.0,2021-07-29 16:58:41,2021-07-29 16:59:50
42.06020373249838,67.27139099928911,45.56155790086308,49.18931233495216,78.51067991670533,53.189226851718544,20.672877925137037,33.55352424704048,22.67855104829663,1.0,1.0,probabilities,1.0,0.0,1.0,71.0,2021-07-29 16:51:39,2021-07-29 16:52:50
41.131255518334754,65.57656046905117,44.79737081873464,48.51009117808784,77.1025992008393,52.81361266516585,18.994748539075502,30.998444273686793,20.748645279440982,1.0,1.0,embeddings,1.0,1.0,0.0,35.0,2021-07-29 16:54:44,2021-07-29 16:55:20
40.98043752424067,65.07614272469898,44.45329901849417,48.812357447038906,77.38655586307803,52.930931933423636,17.48467775584596,28.144903309561823,19.02040027370576,1.0,1.0,embeddings,1.0,0.0,0.0,34.0,2021-07-29 16:58:06,2021-07-29 16:58:41
39.54055048910581,62.94127154547755,42.898970865116915,47.88371075098242,75.82317660280445,52.01745416251169,14.511069703476007,24.29555637349681,15.543520972932622,1.0,1.0,probabilities,0.0,0.0,0.0,66.0,2021-07-29 17:00:22,2021-07-29 17:01:29
39.0967422534649,62.06397661090347,42.59724871382852,47.40466125546057,74.96774209495423,51.743870505846076,14.172985247477893,23.352680158751184,15.157383337775808,1.0,1.0,probabilities,0.0,1.0,0.0,66.0,2021-07-29 16:56:59,2021-07-29 16:58:06
38.51315293228821,62.13046348080379,41.34823905286698,47.12344346539379,75.45288210730341,50.855337594826395,12.682281332971442,22.163207601304897,12.826943426988725,1.0,1.0,embeddings,0.0,1.0,1.0,43.0,2021-07-29 16:48:59,2021-07-29 16:49:43
37.97777960440128,61.16959563218878,40.698908884030516,46.52295263885978,74.4594355353759,49.977013289541205,12.342260501025793,21.300075922627492,12.864595667498449,1.0,1.0,embeddings,0.0,0.0,1.0,45.0,2021-07-29 16:52:50,2021-07-29 16:53:35
36.725636533429665,58.71256790450834,39.55710005389963,45.48393735021443,72.62231735851358,49.13820709693337,10.450734083075337,16.983319542492513,10.813778924798381,1.0,1.0,probabilities,0.0,0.0,1.0,68.0,2021-07-29 16:53:35,2021-07-29 16:54:44
36.18902200643193,57.93746444200907,38.990608127523096,45.07047607448031,71.90791430297833,48.61382623225554,9.54465980228678,16.026114859101288,10.120953813325766,1.0,1.0,probabilities,0.0,1.0,1.0,71.0,2021-07-29 16:49:43,2021-07-29 16:50:55
24.837102559310352,39.73459473105203,26.855790135029707,32.162151856921945,51.40743909711178,34.84219829960331,2.861954666475582,4.716061632872782,2.8965656413088956,1.0,1.0,embeddings,0.0,1.0,0.0,33.0,2021-07-29 16:56:26,2021-07-29 16:56:59
24.465224742582393,39.618506717185795,25.94065921086648,31.31021545238972,50.57721289450432,33.19098889503178,3.9302526131604187,6.742388185230217,4.189670158370605,1.0,1.0,embeddings,0.0,0.0,0.0,32.0,2021-07-29 16:59:50,2021-07-29 17:00:22
13.885857126557786,25.774795591470404,13.490292370020688,15.454795708937137,29.407366531482523,14.619425709946976,9.17904137941974,14.877082771434024,10.102892350241818,1.0,1.0,probabilities,1.0,1.0,1.0,70.0,2021-07-29 16:47:49,2021-07-29 16:48:59
7.5414977118864375,14.930433987575125,7.101799686549223,6.977589181108151,14.687273110916651,6.241193855088666,9.233223304221305,15.65991661755055,9.68361718093088,1.0,1.0,probabilities,1.0,1.0,0.0,65.0,2021-07-29 16:55:20,2021-07-29 16:56:26
