AP,AP50,AP75,bAP,bAP50,bAP75,nAP,nAP50,nAP75,use_classification_layer,use_laplacianshot,embeddings_type,leverage_classification,rectify_prototypes,time_elapsed,time_from,time_to
44.04131761494757,69.67965555981024,47.825402520167025,50.92604591439508,79.64320577371397,55.59261222175521,23.38713271660504,39.789004918099025,24.52377341540247,1.0,1.0,,,,,,
43.98865604149673,69.27070432306647,47.929899569691926,50.97586041372348,79.46419498854131,55.765727200061704,23.027042924816477,38.690232326641926,24.422416678582586,1.0,1.0,embeddings,1.0,1.0,169.0,2021-07-23 11:07:47,2021-07-23 11:10:36
43.98438771962303,69.45562644055006,48.15719440271317,50.881944752631924,79.48384756794543,55.9438176115283,23.291716620596343,39.370963058364026,24.797324776267796,1.0,1.0,embeddings,1.0,0.0,149.0,2021-07-23 11:17:30,2021-07-23 11:19:59
42.97572087677601,67.6145541408992,47.346867220662354,50.503096130126124,79.05488233671547,55.62334470408485,20.3935951167257,33.293569553450354,22.51743477039487,1.0,1.0,probabilities,1.0,0.0,129.0,2021-07-23 11:19:59,2021-07-23 11:22:08
42.545865026866586,66.72820702288519,46.811262158751845,50.35330702854323,78.51666802664411,55.407292995597054,19.123539021836677,31.362824011608467,21.02316964821623,1.0,1.0,probabilities,1.0,1.0,131.0,2021-07-23 11:10:36,2021-07-23 11:12:48
42.49570616826749,66.4347664263884,46.71184177194511,50.22541919724829,78.15555092460065,55.2770559086565,19.306567081325067,31.272412931751735,21.016199361810955,1.0,1.0,probabilities,0.0,1.0,127.0,2021-07-23 11:15:23,2021-07-23 11:17:30
37.51524892494653,58.134981019492486,42.24057168353377,45.51477986294098,70.51472100621388,50.98128550181263,13.516656110963172,20.99576105932829,16.018430228697206,1.0,1.0,probabilities,0.0,0.0,128.0,2021-07-23 11:24:36,2021-07-23 11:26:45
37.238018805530494,58.33869847760106,41.30530123209761,45.25034375272094,70.67980371936883,49.874592380412416,13.20104396395919,21.315382752297772,15.597427787153217,1.0,1.0,embeddings,0.0,1.0,154.0,2021-07-23 11:12:48,2021-07-23 11:15:23
36.82939899536835,57.63226211666603,41.095333065056764,44.99710028383525,70.28439936584661,49.92265352248729,12.326295129967594,19.675850369124284,14.613371692765195,1.0,1.0,embeddings,0.0,0.0,147.0,2021-07-23 11:22:08,2021-07-23 11:24:36
