AP,AP50,AP75,bAP,bAP50,bAP75,nAP,nAP50,nAP75,use_classification_layer,use_laplacianshot,embeddings_type,leverage_classification,rectify_prototypes,time_elapsed,time_from,time_to
42.82151600136643,68.69578571251716,46.35018202190661,49.43582356411183,78.89728353983054,53.43444949598063,22.978593313130208,38.09129223057697,25.097379599684583,1.0,1.0,embeddings,1.0,0.0,109.0,2021-07-28 17:52:24,2021-07-28 17:54:14
42.7247767125193,68.20978808883686,46.17894450922619,49.52897642921105,78.7760980146024,53.41142297747074,22.31217756244405,36.51085831154025,24.481509104492556,1.0,1.0,embeddings,1.0,1.0,115.0,2021-07-28 17:48:37,2021-07-28 17:50:32
42.6617194617766,68.40997439473767,45.91387330980417,49.43629627003399,78.8508896932903,53.192184610821194,22.33798903700437,37.08722849907983,24.078939406753047,1.0,1.0,,,,,,
40.27446036423792,64.46807809017282,43.3938954745449,48.26930101714007,77.04932412180136,52.11370586274147,16.289938405531455,26.72433999528722,17.23446430995521,1.0,1.0,embeddings,0.0,0.0,106.0,2021-07-28 17:54:14,2021-07-28 17:56:00
32.06289436568909,52.19263321102634,34.206938945201536,39.45230728546743,64.20107647090276,42.12312345662641,9.894655606354075,16.167303431397038,10.458385410926905,1.0,1.0,embeddings,0.0,1.0,112.0,2021-07-28 17:50:32,2021-07-28 17:52:24
