AP,AP50,AP75,bAP,bAP50,bAP75,nAP,nAP50,nAP75,use_classification_layer,use_laplacianshot,embeddings_type,knn,lambda_factor,leverage_classification,rectify_prototypes,support_augmentation,time_elapsed,time_from,time_to
42.73698973294466,68.28380499464274,46.078079314286306,49.55647243315716,78.80736363548823,53.33693172216545,22.27854163230713,36.713129072106184,24.301522090648866,1.0,1.0,embeddings,5.0,0.1,1.0,1.0,0.0,132.0,2021-08-03 20:27:55,2021-08-03 20:30:08
42.72479352924788,68.2786271491492,46.07665883292346,49.54155229538781,78.80159564409138,53.338405947129324,22.27451723082809,36.70972166432267,24.29141749030581,1.0,1.0,embeddings,1.0,0.1,1.0,1.0,0.0,124.0,2021-08-03 20:23:44,2021-08-03 20:25:48
42.710595439696604,68.27978971105135,46.06802620207447,49.52448350719441,78.80165594735173,53.33641634401549,22.26893123720319,36.714191002150265,24.262855776251392,1.0,1.0,embeddings,3.0,0.1,1.0,1.0,0.0,126.0,2021-08-03 20:25:48,2021-08-03 20:27:55
42.6617194617766,68.40997439473767,45.91387330980417,49.43629627003399,78.8508896932903,53.192184610821194,22.33798903700437,37.08722849907983,24.078939406753047,1.0,1.0,,,,,,,,,
