AP,AP50,AP75,bAP,bAP50,bAP75,nAP,nAP50,nAP75,use_classification_layer,use_laplacianshot,embeddings_type,knn,lambda_factor,leverage_classification,rectify_prototypes,support_augmentation,time_elapsed,time_from,time_to
42.807611356407655,68.31970447683196,46.139719879956026,49.64868569855045,78.80891647548964,53.42824742844814,22.284388329979254,36.852068480858996,24.274137234479667,1.0,1.0,embeddings,1.0,0.1,1.0,1.0,0.0,131.0,2021-08-03 14:48:33,2021-08-03 14:50:44
42.807611356407655,68.31970447683196,46.139719879956026,49.64868569855045,78.80891647548964,53.42824742844814,22.284388329979254,36.852068480858996,24.274137234479667,1.0,1.0,embeddings,1.0,0.3,1.0,1.0,0.0,131.0,2021-08-03 14:50:44,2021-08-03 14:52:56
42.807611356407655,68.31970447683196,46.139719879956026,49.64868569855045,78.80891647548964,53.42824742844814,22.284388329979254,36.852068480858996,24.274137234479667,1.0,1.0,embeddings,1.0,0.5,1.0,1.0,0.0,132.0,2021-08-03 14:52:56,2021-08-03 14:55:08
42.807611356407655,68.31970447683196,46.139719879956026,49.64868569855045,78.80891647548964,53.42824742844814,22.284388329979254,36.852068480858996,24.274137234479667,1.0,1.0,embeddings,1.0,1.0,1.0,1.0,0.0,132.0,2021-08-03 14:55:08,2021-08-03 14:57:20
42.807611356407655,68.31970447683196,46.139719879956026,49.64868569855045,78.80891647548964,53.42824742844814,22.284388329979254,36.852068480858996,24.274137234479667,1.0,1.0,embeddings,1.0,1.5,1.0,1.0,0.0,131.0,2021-08-03 14:57:20,2021-08-03 14:59:31
42.6617194617766,68.40997439473767,45.91387330980417,49.43629627003399,78.8508896932903,53.192184610821194,22.33798903700437,37.08722849907983,24.078939406753047,1.0,1.0,,,,,,,,,
42.41379901337298,68.16819478702524,45.73343194162306,49.33669239210916,78.90978573272612,53.21727233705899,21.64511887716449,35.943421949922616,23.281910755315284,1.0,1.0,embeddings,1.0,0.1,1.0,1.0,1.0,178.0,2021-08-03 14:36:26,2021-08-03 14:39:24
42.41379901337298,68.16819478702524,45.73343194162306,49.33669239210916,78.90978573272612,53.21727233705899,21.64511887716449,35.943421949922616,23.281910755315284,1.0,1.0,embeddings,1.0,0.3,1.0,1.0,1.0,146.0,2021-08-03 14:39:24,2021-08-03 14:41:51
42.41379901337298,68.16819478702524,45.73343194162306,49.33669239210916,78.90978573272612,53.21727233705899,21.64511887716449,35.943421949922616,23.281910755315284,1.0,1.0,embeddings,1.0,0.5,1.0,1.0,1.0,137.0,2021-08-03 14:41:51,2021-08-03 14:44:09
42.41379901337298,68.16819478702524,45.73343194162306,49.33669239210916,78.90978573272612,53.21727233705899,21.64511887716449,35.943421949922616,23.281910755315284,1.0,1.0,embeddings,1.0,1.0,1.0,1.0,1.0,131.0,2021-08-03 14:44:09,2021-08-03 14:46:21
42.41379901337298,68.16819478702524,45.73343194162306,49.33669239210916,78.90978573272612,53.21727233705899,21.64511887716449,35.943421949922616,23.281910755315284,1.0,1.0,embeddings,1.0,1.5,1.0,1.0,1.0,132.0,2021-08-03 14:46:21,2021-08-03 14:48:33
