AP,AP50,AP75,bAP,bAP50,bAP75,embeddings_type,leverage_classification,nAP,nAP50,nAP75,rectify_prototypes,support_augmentation,time_elapsed,time_from,time_to,use_classification_layer,use_laplacianshot
42.72478700668934,68.26556128788019,46.10879134086881,49.559420987770274,78.77908403523914,53.446001166735456,embeddings,1.0,22.22088506344662,36.72499304580342,24.097161863268838,1.0,0.0,64.0,2021-07-29 16:29:46,2021-07-29 16:30:50,0.0,1.0
42.59934631266674,68.36755648763065,46.04296879866078,49.326704995689724,78.78828678496005,53.29409735226299,embeddings,1.0,22.417270263597796,37.10536559564248,24.28958313785413,0.0,0.0,67.0,2021-07-29 16:30:50,2021-07-29 16:31:58,0.0,1.0
42.5633792280211,68.18658884055385,45.951701548604305,49.48159080812381,78.91325163456659,53.35848242350356,embeddings,1.0,21.808744487712985,36.00660045851562,23.731358923906548,1.0,1.0,73.0,2021-07-29 16:27:25,2021-07-29 16:28:38,0.0,1.0
42.405865926851995,67.80586765919477,46.09865738999635,49.15378988881041,78.32978507709372,53.37724617945103,embeddings,1.0,22.162094040976726,36.23411540549792,24.262891021632296,0.0,1.0,68.0,2021-07-29 16:28:38,2021-07-29 16:29:46,0.0,1.0
