AP,AP50,AP75,APl,APm,APs,bAP,bAP50,bAP75,bAPl,bAPm,bAPs,nAP,nAP50,nAP75,nAPl,nAPm,nAPs,time_elapsed,time_from,time_to,use_classification_layer,use_laplacianshot,embeddings_type,knn,lambda_factor,leverage_classification,rectify_prototypes,support_augmentation
26.413418905169433,42.50286425309932,28.24893210753448,33.017835283972055,28.408214550483596,16.424332531686446,34.07314963910568,54.73711341299706,36.38759331798714,42.280635550785064,36.95397586878709,21.367779658227086,3.4342267033606753,5.800116773406114,3.832948476176535,5.229434483533008,2.770930595573142,1.8411635083915703,41.0,2021-08-04 15:52:24,2021-08-04 15:53:05,1.0,1.0,,,,,,
26.213325580617607,42.05387801677724,28.095502357663893,32.77230578703823,28.23556248840794,16.15314211660809,33.81541768797675,54.16256757467798,36.18392078993368,41.937545005897995,36.71660650221057,21.072266726139972,3.407049258540144,5.727809343074989,3.830247060854525,5.27658813045893,2.7924304470000294,1.6417245184890283,438.0,2021-08-04 16:48:41,2021-08-04 16:55:59,1.0,1.0,embeddings,5.0,0.1,1.0,1.0,0.0
26.211830093361744,42.04893930638674,28.092191990927002,32.77270124275476,28.234344967247072,16.151468532379056,33.815390113421785,54.162611506527824,36.180908105557606,41.93836010408464,36.71556277557242,21.073257707464784,3.40115003318163,5.707922705963486,3.8260436470351773,5.275724658765176,2.790691542270988,1.6321904658761537,418.0,2021-08-04 16:41:43,2021-08-04 16:48:41,1.0,1.0,embeddings,3.0,0.1,1.0,1.0,0.0
26.208620880824768,42.04218388814625,28.08828170025101,32.772082062059184,28.22360804607561,16.151256322555614,33.81532730359217,54.16100661354041,36.18093222216076,41.937838966831734,36.71534256420493,21.072730899123872,3.3885016125225693,5.685715711963774,3.810330134521772,5.274811347741526,2.7484044916876504,1.6329063216792747,400.0,2021-08-04 16:35:02,2021-08-04 16:41:43,1.0,1.0,embeddings,1.0,0.1,1.0,1.0,0.0
26.16449416594503,41.98336671933316,28.030719015301404,32.701956132987284,28.203155625606357,16.282228372284745,33.76446853975747,54.09349889410867,36.1116448867828,41.86463279614086,36.686730643430835,21.234405243963884,3.364571044507725,5.6529701950066,3.787941400857231,5.213926143526535,2.7524305721329014,1.673306600831293,440.0,2021-08-04 17:09:43,2021-08-04 17:17:04,1.0,1.0,embeddings,5.0,0.1,1.0,0.0,0.0
26.159852358107333,41.97320251546644,28.03077292295617,32.70119229447862,28.20287558517424,16.21748044002914,33.75842608580301,54.07967361869661,36.11184361817209,41.86438014471969,36.68618101501901,21.147761732143465,3.3641311750202982,5.653789205775933,3.7875608373084373,5.21162874375543,2.7529592956398954,1.6731506282918696,424.0,2021-08-04 17:02:38,2021-08-04 17:09:43,1.0,1.0,embeddings,3.0,0.1,1.0,0.0,0.0
26.159452010337787,41.97294091585462,28.029831632311375,32.698075872038,28.202426119885576,16.21744807316558,33.7579256762804,54.079568395777954,36.11057510743774,41.859588138609524,36.68580518261078,21.147765417871003,3.364031012509969,5.6530584760846265,3.7876012069322957,5.213539072323415,2.7522889317099524,1.6730119062845943,398.0,2021-08-04 16:55:59,2021-08-04 17:02:38,1.0,1.0,embeddings,1.0,0.1,1.0,0.0,0.0
25.965178362826236,41.57136034194682,27.853878541623562,32.37590148554468,27.932686350552675,15.833402589256156,33.531724555758174,53.60060686687267,35.90923517964815,41.44804929139049,36.35051434246092,20.74559999049196,3.265539784030422,5.483620767169271,3.687808627549806,5.159458068007243,2.67920237482795,1.3424202556105218,417.0,2021-08-04 16:20:55,2021-08-04 16:27:52,1.0,1.0,embeddings,3.0,0.1,1.0,0.0,1.0
25.965044330569082,41.57108574004181,27.853794578073188,32.37545694021553,27.932863293208854,15.833375988369871,33.53175079195738,53.60072809691467,35.90925248779262,41.44816359013425,36.350773507280266,20.745967917926134,3.264924946404145,5.482158669423213,3.687420848914883,5.1573369904593305,2.679132650994609,1.341229796178907,405.0,2021-08-04 16:14:10,2021-08-04 16:20:55,1.0,1.0,embeddings,1.0,0.1,1.0,0.0,1.0
25.96498134729519,41.571162803011504,27.853870333142584,32.374820400449146,27.932719198138894,15.83364630302401,33.53140956773045,53.60007357853975,35.90917804652315,41.447234507344085,36.35056655149136,20.745590551580435,3.2656966859893846,5.484430476426724,3.6879471930008583,5.157578079764261,2.679177138081472,1.3434107697825417,429.0,2021-08-04 16:27:52,2021-08-04 16:35:02,1.0,1.0,embeddings,5.0,0.1,1.0,0.0,1.0
25.959178535252413,41.53473213727133,27.86406249461034,32.33591503475192,27.940403368810866,16.004374463080264,33.49963225921565,53.51160368470698,35.89679016483661,41.36492966217407,36.35255665731791,20.88424187614033,3.33781736336273,5.604117494964374,3.7658794839315655,5.248871152485483,2.7039435032896955,1.6087655945530763,438.0,2021-08-04 16:06:51,2021-08-04 16:14:10,1.0,1.0,embeddings,5.0,0.1,1.0,1.0,1.0
25.95688766010228,41.530319595376966,27.863210328524566,32.33533776412556,27.93671330236483,16.0028577784799,33.49781942021443,53.508251149098854,35.89710931306422,41.36552455491191,36.350243385388694,20.880708685406226,3.334092379765832,5.596524934211301,3.7615133749056118,5.24477739176654,2.6961230532932543,1.6131976030472412,421.0,2021-08-04 15:59:49,2021-08-04 16:06:51,1.0,1.0,embeddings,3.0,0.1,1.0,1.0,1.0
