AP,AP50,AP75,bAP,bAP50,bAP75,nAP,nAP50,nAP75,use_classification_layer,use_laplacianshot,embeddings_type,leverage_classification,rectify_prototypes,time_elapsed,time_from,time_to
45.01270078975513,70.49718824191868,50.39206003476695,50.76543237166206,79.11067032425014,56.89211801624982,27.75450604403438,44.65674199492431,30.891886090318387,1.0,1.0,,,,,,
44.91320564175797,70.21868846954193,50.53386569933118,50.77358949485277,78.97570270330571,57.14629003061394,27.332054082473565,43.94764576825057,30.696592705482875,1.0,1.0,embeddings,1.0,1.0,85.0,2021-07-23 12:05:21,2021-07-23 12:06:46
44.76155248133382,69.79048233716796,50.26892555080734,50.56527931386398,78.3702799431146,56.813926451874984,27.35037198374335,44.051089519327974,30.633922847604374,1.0,1.0,embeddings,1.0,0.0,75.0,2021-07-23 12:10:38,2021-07-23 12:11:54
44.620776637734416,69.43638268581313,50.249416653182344,50.32886634215557,77.8923162972283,56.710967855050804,27.496507524470974,44.06858185156761,30.864763047576986,1.0,1.0,probabilities,1.0,0.0,76.0,2021-07-23 12:11:54,2021-07-23 12:13:10
43.82063430933082,68.05312180596664,49.695734714787555,49.90218340705583,77.27467544530901,56.540493748705785,25.575987016155786,40.38846088793947,29.161457613032844,1.0,1.0,probabilities,1.0,1.0,79.0,2021-07-23 12:06:46,2021-07-23 12:08:05
43.66338657385923,67.39028688978415,49.16552656415624,49.536239239754146,76.21964862957074,55.71834228608108,26.044828576174478,40.90220167042436,29.507079398381723,1.0,1.0,probabilities,0.0,0.0,73.0,2021-07-23 12:14:26,2021-07-23 12:15:39
43.5914386872698,66.99646422886407,49.62684328236448,49.676794202450594,76.1975024854273,56.524791635555516,25.335372141727397,39.3933494591745,28.932998222791365,1.0,1.0,probabilities,0.0,1.0,77.0,2021-07-23 12:09:21,2021-07-23 12:10:38
42.629382214868734,66.20573038523632,48.04885498267508,49.215851621661294,76.2592037838178,55.36079061296495,22.869973994491012,36.04531018949191,26.113048091805503,1.0,1.0,embeddings,0.0,1.0,75.0,2021-07-23 12:08:05,2021-07-23 12:09:21
41.09231323479905,63.870356621636894,46.351394123281224,48.193996491752145,74.69396601587276,54.38081665370559,19.78726346393973,31.399528438929302,22.26312653200813,1.0,1.0,embeddings,0.0,0.0,76.0,2021-07-23 12:13:10,2021-07-23 12:14:26
