AP,AP50,AP75,bAP,bAP50,bAP75,nAP,nAP50,nAP75,use_classification_layer,use_laplacianshot,embeddings_type,leverage_classification,rectify_prototypes,time_elapsed,time_from,time_to
47.35905443542423,72.63160876064674,52.29416014108339,51.732841277796524,78.3781259852818,57.11954405341476,34.23769390830737,55.392057086741524,37.8180084040893,1.0,1.0,embeddings,1.0,1.0,78.0,1627035495.0,1627035574.0
47.27879504989169,72.81660233346221,52.150350449061555,51.539619020014506,78.42699718174626,56.820671383658535,34.49632313952324,55.985417788610036,38.139387645270624,1.0,1.0,,,,,,
47.16936176388025,72.28990349104726,52.20137611123788,51.51072597272774,77.88554499730566,57.05264036095631,34.14526913733774,55.50297897227208,37.64758336208257,1.0,1.0,embeddings,1.0,0.0,69.0,1627035790.0,1627035860.0
46.90130168125194,71.54417462398604,51.911208545864284,51.18298529142214,77.00634044309405,56.58999910829323,34.05625085074131,55.157677166662026,37.87483685857743,1.0,1.0,probabilities,1.0,0.0,68.0,1627035860.0,1627035928.0
46.32641527894311,70.39514981476098,51.46070438022457,50.76488880096629,75.98996987382189,56.40330303108153,33.010994712873554,53.610689637578254,36.63290842765369,1.0,1.0,probabilities,0.0,0.0,68.0,1627035995.0,1627036063.0
46.279123008579745,70.43232792732054,51.23226181150047,50.77571107356114,76.32383250452757,56.303137512585344,32.789358813635545,52.75781419569953,36.019634708245846,1.0,1.0,probabilities,1.0,1.0,75.0,1627035574.0,1627035649.0
45.86944546600827,69.98830030756241,51.278642113313275,50.31743102636592,75.82780575022947,56.26815968021397,32.525488784935376,52.46978397956125,36.31008941261122,1.0,1.0,probabilities,0.0,1.0,69.0,1627035721.0,1627035790.0
45.64325596578276,69.75964075968895,50.62813450022675,50.76316663991581,76.66525888925132,56.46745867510558,30.283523943383564,49.04278637100175,33.11016197559027,1.0,1.0,embeddings,0.0,1.0,72.0,1627035649.0,1627035721.0
44.133886588148584,67.6918934087529,48.836625375283845,49.517032007762126,74.88891293666555,55.015516261882944,27.984450329307982,46.100834825015,30.2999527154865,1.0,1.0,embeddings,0.0,0.0,66.0,1627035928.0,1627035995.0
