AP,AP50,AP75,bAP,bAP50,bAP75,nAP,nAP50,nAP75,use_classification_layer,use_laplacianshot,embeddings_type,leverage_classification,rectify_prototypes,support_augmentation,time_elapsed,time_from,time_to
42.807611356407655,68.31970447683196,46.139719879956026,49.64868569855045,78.80891647548964,53.42824742844814,22.284388329979254,36.852068480858996,24.274137234479667,1.0,1.0,embeddings,1.0,1.0,0.0,96.0,2021-07-29 10:27:04,2021-07-29 10:28:41
42.678172210525034,68.46892004284571,46.06571000424936,49.386339488693686,78.84029036513635,53.27269052198516,22.553670376019074,37.35480907597378,24.44476845104194,1.0,1.0,embeddings,1.0,0.0,0.0,96.0,2021-07-29 10:28:41,2021-07-29 10:30:17
42.6617194617766,68.40997439473767,45.91387330980417,49.43629627003399,78.8508896932903,53.192184610821194,22.33798903700437,37.08722849907983,24.078939406753047,1.0,1.0,,,,,,,
42.563029019631635,68.07572179259618,46.10866784680724,49.25336199652601,78.46298918778072,53.2436343174136,22.492030088948532,36.91391960704262,24.703768434988167,1.0,1.0,embeddings,1.0,0.0,1.0,96.0,2021-07-29 10:25:27,2021-07-29 10:27:04
42.47676520072573,68.15321126383776,45.78078963369383,49.426733312703796,78.89979876478606,53.24078599742973,21.626860864791556,35.913448760992836,23.40080054248606,1.0,1.0,embeddings,1.0,1.0,1.0,102.0,2021-07-29 10:23:45,2021-07-29 10:25:27
